WigleWifi-1.4,appRelease=2.x,model=SERVER,release=2.50,device=WiGLE SERVER,display=NONE,brand=WiGLE.net
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:14:06:11:08:30,LEWIFI,[],2026-02-24 16:09:06,-1,-73.0,44.1053772,-70.20595551,52,3.216,WIFI
00:19:9D:4F:F3:B8,VIZIO HD,[WPA2-PSK-CCMP],2026-02-24 16:03:06,-1,-90.0,44.10250473,-70.20052338,65,3.216,WIFI
00:22:6C:BE:7E:50,IKBFV378_7E50,[],2026-02-24 15:57:06,-1,-84.0,44.10107803,-70.1938858,59,3.216,WIFI
00:4E:35:CA:26:82,eduroam,[WPA2-PSK-CCMP],2026-02-24 16:05:36,-1,-78.0,44.10370255,-70.20301056,58,3.216,WIFI
00:4E:35:CA:26:90,Bates Secure,[WPA2-PSK-CCMP],2026-02-24 16:05:36,-1,-91.0,44.10370255,-70.20301056,58,3.216,WIFI
00:4E:35:CA:26:91,Bates Open,[],2026-02-24 16:05:36,-1,-91.0,44.10370255,-70.20301056,58,3.216,WIFI
00:4E:35:F1:50:A2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-82.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F1:50:A3,Lowes-Guest-WiFi,[],2026-02-24 16:30:06,-1,-78.0,44.11713409,-70.23681641,66,3.216,WIFI
00:4E:35:F1:50:B0,redvest,[WPA2-PSK-CCMP],2026-02-24 16:25:06,-1,-81.0,44.11772156,-70.23675537,69,3.216,WIFI
00:4E:35:F1:50:B1,gable,[WPA2-PSK-CCMP],2026-02-24 16:25:06,-1,-81.0,44.11772156,-70.23675537,69,3.216,WIFI
00:4E:35:F1:50:B2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:25:06,-1,-81.0,44.11772156,-70.23675537,69,3.216,WIFI
00:4E:35:F1:50:B3,Lowes-Guest-WiFi,[],2026-02-24 16:25:06,-1,-81.0,44.11772156,-70.23675537,69,3.216,WIFI
00:4E:35:F2:11:C2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-87.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F2:11:C3,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-86.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F2:11:D0,redvest,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-77.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:11:D1,gable,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-77.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:11:D2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-75.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:11:D3,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-77.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:31:82,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-84.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F2:31:83,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-86.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F2:31:90,redvest,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-74.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:31:91,gable,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-74.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:31:92,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-75.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:31:93,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-75.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:97:90,redvest,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-83.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:97:91,gable,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-83.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:97:92,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-83.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F2:97:93,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-83.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F3:53:42,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-79.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F3:53:43,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-81.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F3:53:50,redvest,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-68.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F3:53:51,gable,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-68.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F3:53:52,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-68.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F3:53:53,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-68.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F3:9A:10,redvest,[WPA2-PSK-CCMP],2026-02-24 16:27:06,-1,-91.0,44.11715317,-70.23682404,66,3.216,WIFI
00:4E:35:F3:9A:12,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:27:06,-1,-92.0,44.11715317,-70.23682404,66,3.216,WIFI
00:4E:35:F3:9A:13,Lowes-Guest-WiFi,[],2026-02-24 16:27:06,-1,-91.0,44.11715317,-70.23682404,66,3.216,WIFI
00:4E:35:F3:AF:D0,redvest,[WPA2-PSK-CCMP],2026-02-24 16:25:06,-1,-79.0,44.11772156,-70.23675537,69,3.216,WIFI
00:4E:35:F3:AF:D1,gable,[WPA2-PSK-CCMP],2026-02-24 16:25:06,-1,-78.0,44.11772156,-70.23675537,69,3.216,WIFI
00:4E:35:F3:AF:D2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:25:06,-1,-79.0,44.11772156,-70.23675537,69,3.216,WIFI
00:4E:35:F3:AF:D3,Lowes-Guest-WiFi,[],2026-02-24 16:25:06,-1,-78.0,44.11772156,-70.23675537,69,3.216,WIFI
00:4E:35:F5:03:10,redvest,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-84.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F5:03:11,gable,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-84.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F5:03:12,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-84.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F5:03:13,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-86.0,44.11716461,-70.23681641,65,4.288,WIFI
00:4E:35:F5:9D:C2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-77.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F5:9D:C3,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-78.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F5:9D:D0,redvest,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-63.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F5:9D:D1,gable,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-63.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F5:9D:D2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:26:06,-1,-63.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F5:9D:D3,Lowes-Guest-WiFi,[],2026-02-24 16:26:06,-1,-63.0,44.11716461,-70.23681641,65,3.216,WIFI
00:4E:35:F5:A1:C2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:29:06,-1,-81.0,44.11714935,-70.23682404,66,3.216,WIFI
00:4E:35:F5:A1:C3,Lowes-Guest-WiFi,[],2026-02-24 16:29:06,-1,-79.0,44.11714935,-70.23682404,66,3.216,WIFI
00:4E:35:F5:A1:D0,redvest,[WPA2-PSK-CCMP],2026-02-24 16:29:06,-1,-72.0,44.11714935,-70.23682404,66,3.216,WIFI
00:4E:35:F5:A1:D1,gable,[WPA2-PSK-CCMP],2026-02-24 16:29:06,-1,-72.0,44.11714935,-70.23682404,66,3.216,WIFI
00:4E:35:F5:A1:D2,techwrench,[WPA2-PSK-CCMP],2026-02-24 16:29:06,-1,-72.0,44.11714935,-70.23682404,66,3.216,WIFI
00:4E:35:F5:A1:D3,Lowes-Guest-WiFi,[],2026-02-24 16:29:06,-1,-72.0,44.11714935,-70.23682404,66,3.216,WIFI
00:54:AF:C8:8E:3C,Hotspot8E3C,[WPA2-PSK-CCMP],2026-02-24 16:04:33,-1,-86.0,44.10322952,-70.2019577,62,3.216,WIFI
00:6F:F2:87:23:CA,GMC2022,[WPA2-PSK-CCMP],2026-02-24 15:58:36,-1,-67.0,44.10105896,-70.19571686,59,3.216,WIFI
02:05:95:81:50:24,Spectrum Mobile,[WPA2-PSK-CCMP],2026-02-24 15:56:33,-1,-81.0,44.10114288,-70.19325256,53,3.216,WIFI
02:10:7F:F9:D8:29,DIRECT-AM-3100-WF-f95828,[WPA2-PSK-CCMP],2026-02-24 16:06:06,-1,-89.0,44.10393524,-70.2035141,59,3.216,WIFI
02:10:7F:F9:DB:CD,,[WPA2-PSK-CCMP],2026-02-24 16:05:36,-1,-92.0,44.10370255,-70.20301056,58,3.216,WIFI
